date,source,headline,summary
2025-07-09,Bloomberg,Conflict event impacts oil prices,Conflict in the region has led to market volatility.
2025-07-10,Al Jazeera,Strike event impacts oil prices,Strike in the region has led to market volatility.
2025-07-12,Reuters,Conflict event impacts oil prices,Conflict in the region has led to market volatility.
2025-07-13,Al Jazeera,Opec event impacts oil prices,Opec in the region has led to market volatility.
2025-07-12,Bloomberg,Supply event impacts oil prices,Supply in the region has led to market volatility.
2025-07-13,Al Jazeera,Pipeline event impacts oil prices,Pipeline in the region has led to market volatility.
2025-07-11,Fox,Opec event impacts oil prices,Opec in the region has led to market volatility.
2025-07-09,BBC,Middle East event impacts oil prices,Middle East in the region has led to market volatility.
2025-07-10,Reuters,Strike event impacts oil prices,Strike in the region has led to market volatility.
2025-07-12,Al Jazeera,Strike event impacts oil prices,Strike in the region has led to market volatility.
